state,answer_set,facility_name,eligible_to_vote,count,n_respondents,pct_of_respondents
OH,all-surveys,"Scioto County, OH ",Yes,6,10,0.6
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",Not sure,6,15,0.4
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",Yes,6,15,0.4
PA,all-surveys,"Bucks County Correctional Facility, PA",Yes,6,9,0.6666666666666666
PA,all-surveys,"Franklin County, PA",Not sure,6,25,0.24
PA,all-surveys,"Northampton County Prison, PA",Yes,6,10,0.6
PA,all-surveys,"Northumberland County, PA",Yes,6,9,0.6666666666666666
SC,all-surveys,"Aiken County, SC",Yes,6,15,0.4
SC,all-surveys,"Clarendon County, SC",Not sure,6,13,0.46153846153846156
TX,all-surveys,"Hunt County, TX",No,6,22,0.2727272727272727
TX,all-surveys,"Wichita County, TX ",No,6,28,0.21428571428571427
UT,all-surveys,"Beaver County, UT",Not sure,6,28,0.21428571428571427
UT,all-surveys,"Iron County, UT",Not sure,6,15,0.4
VA,all-surveys,"Accommack County Jail, VA",No,6,10,0.6
VA,all-surveys,"Arlington County Detention Center, VA",No,6,29,0.20689655172413793
VA,all-surveys,"Arlington County Detention Center, VA",Not sure,6,29,0.20689655172413793
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",Yes,6,15,0.4
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Not sure,6,42,0.14285714285714285
WA,all-surveys,"King County Adult Detention, WA",Yes,6,13,0.46153846153846156
WA,all-surveys,"Whatcom County, WA - Main Jail",Not sure,6,23,0.2608695652173913
WI,all-surveys,"Winnebago County, WI",No,6,11,0.5454545454545454
